City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Souillac,MU,-20.5167,57.5167,73.36,67,80,20.67,broken clouds,2021-07-30 05:07:50
1,Zhangjiakou,CN,40.81,114.8794,87.03,41,99,3.62,overcast clouds,2021-07-30 05:04:54
2,Ribeira Grande,PT,38.5167,-28.7,70.14,87,10,6.76,clear sky,2021-07-30 05:07:50
3,Tokonou,GN,9.65,-9.7833,64.81,92,85,3.78,overcast clouds,2021-07-30 05:07:51
4,Cabo San Lucas,MX,22.8909,-109.9124,85.6,78,2,4.0,clear sky,2021-07-30 05:07:03
5,Mareeba,AU,-17.0,145.4333,86.32,39,3,9.15,clear sky,2021-07-30 05:07:51
6,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,93,45,6.13,scattered clouds,2021-07-30 05:07:51
7,Namatanai,PG,-3.6667,152.4333,84.06,71,24,5.79,light rain,2021-07-30 05:07:51
8,Hithadhoo,MV,-0.6,73.0833,82.56,69,63,3.02,broken clouds,2021-07-30 05:07:52
9,Ponta Do Sol,PT,32.6667,-17.1,70.43,79,11,6.06,few clouds,2021-07-30 05:07:52
10,Puerto Ayora,EC,-0.7393,-90.3518,70.43,91,16,5.79,few clouds,2021-07-30 05:07:52
11,Broken Hill,AU,-31.95,141.4333,66.13,33,93,20.96,overcast clouds,2021-07-30 05:07:53
12,Homer,US,59.6425,-151.5483,55.29,72,90,8.05,overcast clouds,2021-07-30 05:07:53
13,Bethel,US,41.3712,-73.414,71.04,92,75,4.61,mist,2021-07-30 05:07:53
14,Severo-Kurilsk,RU,50.6789,156.125,63.03,84,79,7.05,broken clouds,2021-07-30 05:07:53
15,Yellowknife,CA,62.456,-114.3525,64.56,59,94,5.01,overcast clouds,2021-07-30 05:07:54
16,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,72.19,83,75,2.24,broken clouds,2021-07-30 05:07:54
17,Bilibino,RU,68.0546,166.4372,42.82,50,63,11.14,broken clouds,2021-07-30 05:07:54
18,Saint George,US,37.1041,-113.5841,75.67,83,75,4.61,broken clouds,2021-07-30 05:07:55
19,Namibe,AO,-15.1961,12.1522,62.92,81,2,2.55,clear sky,2021-07-30 05:07:55
